Kulbicki,MEOW,ID,NA_,Lon,Lat,Management,RetentC,RetentP,RetentR,RetentT,RetentC5,RetentP5,RetentR15,RetentT15,OutflowC5,OutflowP5,OutflowR15,OutflowT15,InflowC5,InflowP5,InflowR15,InflowT15,OutDegC5,OutDegP5,OutDegR15,OutDegT15,InDegC5,InDegP5,InDegR15,InDegT15,OutflowC,OutflowP,OutflowR,OutflowT,InflowC,InflowP,InflowR,InflowT,OutDegC,OutDegP,OutDegR,OutDegT,InDegC,InDegP,InDegR,InDegT,NetflowC5,NetflowR15,NetflowP5,NetflowT15,NetflowC,NetflowR,NetflowP,NetflowT,source_cell_id,cell_id,netflow,sovereign_state,protected,in_mpa,in_oecm,protection_class,n_cells,q25_netflow,q75_netflow,is_country_sink,is_country_source,is_wio_sink,is_wio_source
Western Indian,Western Indian Ocean,14699,V14699,43.96,-16.34,Fished,5,26,15,0,132,244,20,42,1498,1472,838,732,1053,878,589,765,139,35,185,63,131,52,169,75,1005,2708,1820,405,415,1314,785,330,115,99,99,24,65,50,50,18,0.174441396,0.174491941,0.252765957,-0.022044088,0.415492958,0.39731286,0.346593734,0.102040816,14699,CELL014699,0.174441396,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14701,V14701,43.8,-12.26,Fished,0,0,0,0,533,528,29,54,1697,1434,917,795,1818,1868,562,636,167,64,196,87,98,43,128,50,1515,4048,2870,1515,550,2048,1370,195,158,145,145,49,66,75,75,11,-0.034423898,0.240027045,-0.131435494,0.111111111,0.467312349,0.353773585,0.32808399,0.771929825,14701,CELL014701,-0.034423898,Comoro Islands,FALSE,FALSE,FALSE,Unprotected,20,-0.13337417475,0.00159748275,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14702,V14702,44.44,-12.34,Fished,0,0,0,0,1,0,3,0,1393,920,1090,891,2140,1368,1849,1554,153,58,207,75,194,87,210,118,1320,3108,2220,780,2060,3326,2465,2115,111,111,111,38,136,117,117,64,-0.211435041,-0.258251106,-0.195804196,-0.271165644,-0.218934911,-0.052294557,-0.033882499,-0.461139896,14702,CELL014702,-0.211435041,Comoro Islands,FALSE,FALSE,FALSE,Unprotected,20,-0.13337417475,0.00159748275,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14703,V14703,43.64,-12.42,Fished,0,0,0,0,98,120,17,0,1473,1070,1127,1119,1676,1480,1109,948,154,51,187,76,149,74,180,99,1350,3202,2405,945,1255,2240,1550,1140,119,112,112,32,119,81,81,39,-0.064464909,0.008050089,-0.160784314,0.082728592,0.03646833,0.216182048,0.176773245,-0.09352518,14703,CELL014703,-0.064464909,Comoro Islands,TRUE,TRUE,FALSE,MPA only,20,-0.13337417475,0.00159748275,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14704,V14704,43.88,-12.42,Fished,75,42,55,270,143,102,47,138,3126,2244,1939,1662,2019,592,1203,816,59,33,98,43,19,12,32,26,1925,2452,2180,2310,715,976,990,885,77,79,79,26,25,29,29,9,0.21516035,0.234245703,0.582510578,0.341404358,0.458333333,0.375394322,0.430571762,0.44600939,14704,CELL014704,0.21516035,Comoro Islands,TRUE,TRUE,FALSE,MPA only,20,-0.13337417475,0.00159748275,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14705,V14705,43.88,-12.34,Fished,105,48,70,45,778,662,89,246,3198,2348,1934,1692,3212,1580,1627,990,56,25,98,35,16,13,29,22,1995,2716,2390,2055,1015,958,1045,765,83,88,88,33,23,27,27,11,-0.002184087,0.086211738,0.195519348,0.261744966,0.325581395,0.391557496,0.47849755,0.457446809,14705,CELL014705,-0.002184087,Comoro Islands,TRUE,TRUE,FALSE,MPA only,20,-0.13337417475,0.00159748275,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14706,V14706,43.96,-12.34,Fished,565,288,670,1350,1693,2218,535,1131,3284,2582,2111,1677,6112,7300,2812,4806,31,11,72,23,21,23,31,15,2440,2424,2510,2220,4100,2760,5450,7710,67,71,71,19,27,29,29,26,-0.30097914,-0.14239285,-0.477433718,-0.482646923,-0.25382263,-0.369346734,-0.064814815,-0.552870091,14706,CELL014706,-0.30097914,Comoro Islands,TRUE,TRUE,FALSE,MPA only,20,-0.13337417475,0.00159748275,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14707,V14707,43.24,-11.86,Fished,20,36,40,15,360,430,61,135,3121,2436,1878,1815,1899,1500,832,909,55,25,104,37,20,12,29,19,1270,2638,2145,1125,415,708,620,330,73,89,89,24,22,23,23,9,0.243426295,0.38597786,0.237804878,0.332599119,0.507418398,0.551537071,0.576808129,0.546391753,14707,CELL014707,0.243426295,Comoro Islands,FALSE,FALSE,FALSE,Unprotected,20,-0.13337417475,0.00159748275,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14708,V14708,43.4,-11.38,Fished,10,0,0,30,289,416,88,51,2926,2516,1814,1203,1498,1334,837,342,25,20,50,34,22,18,26,22,2305,1994,2085,1485,685,358,245,555,54,58,58,10,20,13,13,13,0.32278481,0.368540174,0.307012987,0.557281553,0.54180602,0.789699571,0.695578231,0.455882353,14708,CELL014708,0.32278481,Comoro Islands,FALSE,FALSE,FALSE,Unprotected,20,-0.13337417475,0.00159748275,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14709,V14709,43.24,-11.38,Fished,0,0,0,0,38,30,23,12,2998,2332,2015,1362,792,698,496,177,34,20,62,31,25,21,28,15,2480,2094,2185,1260,330,264,210,300,55,61,61,12,22,9,9,10,0.582058047,0.604938272,0.539273927,0.769980507,0.765124555,0.824634656,0.776081425,0.615384615,14709,CELL014709,0.582058047,Comoro Islands,FALSE,FALSE,FALSE,Unprotected,20,-0.13337417475,0.00159748275,FALSE,TRUE,FALSE,TRUE
